Model_Arch,Source_Task,coqa,kde4,squad,sst2,tatoeba,yelp
gpt2,coqa,25.25,29.75,25.5,26.5,30.5,26
gpt2,kde4,33.75,28.5,32.5,26.25,31.25,28.5
gpt2,squad,27.5,30.25,27.75,26.25,30.25,26.25
gpt2,sst2,31.75,29.75,30.5,25.5,27.5,23.75
gpt2,tatoeba,35.25,30,32.25,29.25,28.75,27.75
gpt2,yelp,33.5,29,29.25,27.5,29.75,26.75
llama2,coqa,38,11.75,40,4.75,10.5,41.75
llama2,kde4,22,50,20.75,21.75,46.75,23.75
llama2,squad,36,25.5,39,22.5,15.25,38.25
llama2,sst2,20,16.25,11,24.75,10.25,5.75
llama2,tatoeba,10.75,41.5,13.5,14,74,18.5
llama2,yelp,34.75,32.5,45.25,18.75,28,52
llama3.2,coqa,18.75,19.25,16.25,16.25,17.25,14.25
llama3.2,kde4,21.25,23.5,20,17,21.75,17.5
llama3.2,squad,12.5,18,16,15.5,12,10
llama3.2,sst2,15,18.75,16.25,15,14.5,17.5
llama3.2,tatoeba,16.25,16.75,16.75,12.5,18.75,16.5
llama3.2,yelp,15.5,22.75,17.25,13.5,17.25,16.75
qwen2,coqa,22.75,24.75,20,23,22,18.25
qwen2,kde4,19.75,24,17.25,18,17,16.5
qwen2,squad,20,23.5,20.25,22.5,20.75,16.75
qwen2,sst2,19.25,21.25,18.5,20.75,16.25,14.75
qwen2,tatoeba,18.25,22.25,17,17.5,16,14.25
qwen2,yelp,20.25,22.5,18.25,20.25,18,16.75
